"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"WDPRBUS","199007","176.618","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199008","201.445","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199009","196.099","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199010","190.414","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199011","177.629","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199012","202.362","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199013","2216.166","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199101","221.773","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199102","161.586","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199103","165.815","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199104","142.348","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199105","156.299","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199106","161.835","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199107","163.21","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199108","201.887","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199109","220.843","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199110","204.17","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199111","194.094","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199112","220.221","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199113","2214.082","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199201","225.223","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199202","179.107","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199203","169.584","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199204","162.501","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199205","136.512","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199206","178.938","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199207","196.218","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199208","216.248","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199209","199.5","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199210","219.054","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199211","220.592","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199212","209.993","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199213","2313.471","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199301","212.917","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199302","190.799","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199303","202.466","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199304","176.447","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199305","141.057","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199306","142.881","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199307","159.077","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199308","215.249","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199309","197.49","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199310","203.03","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199311","209.594","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199312","208.767","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199313","2259.774","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199401","252.903","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199402","194.065","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199403","202.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199404","183.168","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199405","141.247","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199406","156.533","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199407","216.33","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199408","193.374","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199409","180.928","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199410","209.489","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199411","198.716","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199412","194.468","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199413","2323.82","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199501","181.661","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199502","151.839","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199503","181.966","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199504","202.143","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199505","174.718","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199506","164.965","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199507","234.038","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199508","240.237","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199509","208.217","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199510","227.438","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199511","203.6","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199512","199.049","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199513","2369.869","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199601","215.337","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199602","169.485","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199603","196.558","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199604","149.671","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199605","176.787","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199606","197.279","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199607","221.032","1","Wood Energy Production","Trillion Btu"
